xlsx_file,matched_png,footer_type,footer_pixels,orig_width,orig_height,detected_crop_height,crop_height,crop_method,status,output_image_path
01-6.tif,01-6.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-6.png
01-7.tif,01-7.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-7.png
01-9.tif,01-9.png,1,125,1024,948,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-9.png
01-10.tif,01-10.png,1,125,1024,948,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-10.png
01-11.tif,01-11.png,1,125,1024,948,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-11.png
01-12.tif,01-12.png,1,125,1024,948,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-12.png
01-13.tif,01-13.png,1,125,1024,948,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-13.png
01-14.tif,01-14.png,1,125,1024,948,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\01-14.png
1.tif,1.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\1.png
2.tif,2.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\2.png
3.tif,3.png,1,125,1024,948,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\3.png
4.tif,4.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\4.png
5.tif,5.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\5.png
6.tif,6.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\6.png
7.tif,7.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\7.png
8.tif,8.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\8.png
9.tif,9.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\9.png
11.tif,11.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\11.png
12.tif,12.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\12.png
13.tif,13.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\13.png
14.tif,14.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\14.png
15.tif,15.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\15.png
17.tif,17.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\17.png
18.tif,18.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\18.png
19.tif,19.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\19.png
20.tif,20.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\20.png
21.tif,21.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\21.png
22.tif,22.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\22.png
23.tif,23.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\23.png
24.tif,24.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\24.png
26.tif,26.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\26.png
29.tif,29.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\29.png
30.tif,30.png,1,125,1024,948,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\30.png
31.tif,31.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\31.png
32.tif,32.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\32.png
35.tif,35.png,1,125,1024,948,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\35.png
36.tif,36.png,1,125,1024,948,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\36.png
37.tif,37.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\37.png
38.tif,38.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\38.png
39.tif,39.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\39.png
42.tif,42.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\42.png
43.tif,43.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\43.png
44.tif,44.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\44.png
48.tif,48.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\48.png
49.tif,49.png,2,81,1024,888,767,767,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\49.png
53.tif,53.png,2,81,1024,888,806,767,expected_template,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\53.png
55.tif,55.png,1,125,1024,948,769,769,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\55.png
64.tif,64.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\64.png
65.tif,65.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\65.png
66.tif,66.png,1,125,1024,946,768,768,auto_detect,ok,C:\Users\pyd111\Desktop\中期\wd_bishe\dataset\full_png_cropped_xlsx\images\66.png
