"sha256","duplicate_count","canonical_source","canonical_destination_relative_path","duplicate_sources"
"02F997090FB262542D4FB48C958702031C3BE85F3CF4C880AFB2F4A2773D8310","2","AI-F:ai缝合大王\2025即插即用模块3\（MICCAI 24）Perspective+Unet.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（MICCAI_24）Perspective+Unet__02F99709.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（MICCAI 24）Perspective+Unet.pdf | AI-F:ai缝合大王\2025即插即用模块3\（MICCAI 24）Perspective+Unet.pdf"
"076F4D47F01300D275A2F140D3C765A95ED823549D9E60DC93767DE63481E1CB","2","B站更新（和视频同步更新 日更）:120 Hybrid Pooling Attention（2025）.pdf","tools\module_reference_sync\pdfs\papers\bilibili_daily\120_Hybrid_Pooling_Attention（2025）__076F4D47.pdf","B站更新（和视频同步更新 日更）:119 Twin-branch Feature Extraction(2025).pdf | B站更新（和视频同步更新 日更）:120 Hybrid Pooling Attention（2025）.pdf"
"0A7A9601E1D8084979DEF010725BD596CAAF8FBD6D6B5B58431B0E3F0877D9A1","2","AI-F:ai缝合大王\2025即插即用模块3\（cvpr2025）DyT.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）DyT__0A7A9601.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（cvpr2025）DyT.pdf | AI-F:ai缝合大王\2025即插即用模块3\（cvpr2025）DyT.pdf"
"2552FF50F796844105E1D9DDAED29D2CCC8E15EA2C3058A4705E7E41A59DBE16","2","AI-F:ai缝合大王\2025即插即用模块3\（CVPR 2025）LSNet.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（CVPR_2025）LSNet__2552FF50.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（CVPR 2025）LSNet.pdf | AI-F:ai缝合大王\2025即插即用模块3\（CVPR 2025）LSNet.pdf"
"2B71EA8AAF7B30B44A7D3D4DBF03B74A02064114FF3508DF2D6A69A7AB27F199","2","AI-F:ai缝合大王\2025即插即用模块3\CM-UNet.pdf","tools\module_reference_sync\pdfs\papers\ai_f\CM-UNet__2B71EA8A.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\CM-UNet.pdf | AI-F:ai缝合大王\2025即插即用模块3\CM-UNet.pdf"
"39E35D61F80A169F2818256D40BD8449BDC70A359DEE220E693EC3C3FA32E09F","2","AI-F:ai缝合大王\2025即插即用模块3\（CVPR 2025）FDConv.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（CVPR_2025）FDConv__39E35D61.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（CVPR 2025）FDConv.pdf | AI-F:ai缝合大王\2025即插即用模块3\（CVPR 2025）FDConv.pdf"
"4B01BC6A06010DF96FC6AE712AAE8C9B64C1C81A80AE5C8A135A079DF8846093","2","AI-F:ai缝合大王\2025即插即用模块3\(CVPR 2025) MambaIRv2.pdf","tools\module_reference_sync\pdfs\papers\ai_f\(CVPR_2025)_MambaIRv2__4B01BC6A.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\(CVPR 2025) MambaIRv2.pdf | AI-F:ai缝合大王\2025即插即用模块3\(CVPR 2025) MambaIRv2.pdf"
"5348EE95DD0606E82978D4396AA6451774AA9986646E9E2EE111ED8DA66FB881","2","AI-F:ai缝合大王\2025即插即用模块3\（cvpr2025）MaIR.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）MaIR__5348EE95.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（cvpr2025）MaIR.pdf | AI-F:ai缝合大王\2025即插即用模块3\（cvpr2025）MaIR.pdf"
"7396537296914E4069F5E61B1B682752F3ABC6F3E0C045C23714A67AF1E6DFEE","2","AI-F:ai缝合大王\2025即插即用模块3\(CVPR 2025) MambaOut.pdf","tools\module_reference_sync\pdfs\papers\ai_f\(CVPR_2025)_MambaOut__73965372.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\(CVPR 2025) MambaOut.pdf | AI-F:ai缝合大王\2025即插即用模块3\(CVPR 2025) MambaOut.pdf"
"8AEF84C026A0E1F6CAE509A1C71156C158DDB3532FC492137EFFB5B4D5E983E3","2","AI-F:ai缝合大王\2025即插即用模块3\（MICCAI 24）EM-Net.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（MICCAI_24）EM-Net__8AEF84C0.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（MICCAI 24）EM-Net.pdf | AI-F:ai缝合大王\2025即插即用模块3\（MICCAI 24）EM-Net.pdf"
"8F0B9FED3165492958614C81F5DA9178B22F074874B2EC47D83CD945918A90C6","2","AI-F:ai缝合大王\2025即插即用模块3\TransXNet.pdf","tools\module_reference_sync\pdfs\papers\ai_f\TransXNet__8F0B9FED.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\TransXNet.pdf | AI-F:ai缝合大王\2025即插即用模块3\TransXNet.pdf"
"9837E1344D7EC968B1C9D7F9BDB395B24A9DB5A4C0E052A2163169D56ABDD78C","2","AI-F:ai缝合大王\2025即插即用模块3\（TIP 2025）Quad-Bayer.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（TIP_2025）Quad-Bayer__9837E134.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（TIP 2025）Quad-Bayer.pdf | AI-F:ai缝合大王\2025即插即用模块3\（TIP 2025）Quad-Bayer.pdf"
"C523E618F136B67B4E551D510402DE93BA91C8235433963F1E7452005F8E6A20","2","AI-F:ai缝合大王\2025即插即用模块3\（cvpr2025）FCENet.pdf","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）FCENet__C523E618.pdf","AI-F:2025即插即用模块3\2025即插即用模块3\（cvpr2025）FCENet.pdf | AI-F:ai缝合大王\2025即插即用模块3\（cvpr2025）FCENet.pdf"
