"library","category","source_root","source_relative_path","size_bytes","sha256","is_canonical","canonical_destination_relative_path"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\（MICCAI 24）Perspective+Unet.pdf","5082640","02F997090FB262542D4FB48C958702031C3BE85F3CF4C880AFB2F4A2773D8310","False","tools\module_reference_sync\pdfs\papers\ai_f\（MICCAI_24）Perspective+Unet__02F99709.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\（MICCAI 24）Perspective+Unet.pdf","5082640","02F997090FB262542D4FB48C958702031C3BE85F3CF4C880AFB2F4A2773D8310","True","tools\module_reference_sync\pdfs\papers\ai_f\（MICCAI_24）Perspective+Unet__02F99709.pdf"
"B站更新（和视频同步更新 日更）","papers","D:\BaiduNetdiskDownload\B站更新（和视频同步更新 日更）\B站更新（和视频同步更新 日更）","119 Twin-branch Feature Extraction(2025).pdf","6012370","076F4D47F01300D275A2F140D3C765A95ED823549D9E60DC93767DE63481E1CB","False","tools\module_reference_sync\pdfs\papers\bilibili_daily\120_Hybrid_Pooling_Attention（2025）__076F4D47.pdf"
"B站更新（和视频同步更新 日更）","papers","D:\BaiduNetdiskDownload\B站更新（和视频同步更新 日更）\B站更新（和视频同步更新 日更）","120 Hybrid Pooling Attention（2025）.pdf","6012370","076F4D47F01300D275A2F140D3C765A95ED823549D9E60DC93767DE63481E1CB","True","tools\module_reference_sync\pdfs\papers\bilibili_daily\120_Hybrid_Pooling_Attention（2025）__076F4D47.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\（cvpr2025）DyT.pdf","2293248","0A7A9601E1D8084979DEF010725BD596CAAF8FBD6D6B5B58431B0E3F0877D9A1","False","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）DyT__0A7A9601.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\（cvpr2025）DyT.pdf","2293248","0A7A9601E1D8084979DEF010725BD596CAAF8FBD6D6B5B58431B0E3F0877D9A1","True","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2025）DyT__0A7A9601.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\（CVPR 2025）LSNet.pdf","4780747","2552FF50F796844105E1D9DDAED29D2CCC8E15EA2C3058A4705E7E41A59DBE16","False","tools\module_reference_sync\pdfs\papers\ai_f\（CVPR_2025）LSNet__2552FF50.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\（CVPR 2025）LSNet.pdf","4780747","2552FF50F796844105E1D9DDAED29D2CCC8E15EA2C3058A4705E7E41A59DBE16","True","tools\module_reference_sync\pdfs\papers\ai_f\（CVPR_2025）LSNet__2552FF50.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","2025即插即用模块3\2025即插即用模块3\CM-UNet.pdf","2013484","2B71EA8AAF7B30B44A7D3D4DBF03B74A02064114FF3508DF2D6A69A7AB27F199","False","tools\module_reference_sync\pdfs\papers\ai_f\CM-UNet__2B71EA8A.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\2025即插即用模块3\CM-UNet.pdf","2013484","2B71EA8AAF7B30B44A7D3D4DBF03B74A02064114FF3508DF2D6A69A7AB27F199","True","tools\module_reference_sync\pdfs\papers\ai_f\CM-UNet__2B71EA8A.pdf"
